Shift,Material,Department,Machine,Process Type,Outside Process,Outside Process Type,Hardware,Hardware Type,Deburr,Total Parts,Defect Count,Defect Rate,Thread,Defect Type,Possible Cause,Production Cost
First 6:00AM-2:30PM,303 Stainless Steel,Mill,YCM_3,Standard,No,None,Yes,Fasteners,Part_Deburred_On_Machine,1165,57,4.93,Yes,Incorrect_Depth,Incorrect_Print,876
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Small_Wia,High_Precision,No,None,Yes,Dowel_Pins,Manually Deburred,315,12,3.86,No,Missing_Feature,Incorrect_Print,313
Second 1:30PM to 9:30PM,6063 Aluminum,Lathe,Big_Wia,Surface_Finish_Critical,Yes,Nickel_Plating,Yes,Bolts,Manually Deburred,119,2,1.78,No,Dent,Material_Defect,483
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Samsung_SL15E,Standard,Yes,Electroless_Nickel_Plating,No,None,Part_Deburred_On_Machine,2661,115,4.33,Yes,Incorrect_Hole_Size,Improper_Setup,1880
Second 1:30PM to 9:30PM,Steel,Lathe,Big_Wia,Tight_Tolerance,No,None,No,None,Part_Deburred_On_Machine,660,20,3.04,Yes,Thread_Defect,Measurement_Error,345
First 6:00AM-2:30PM,6061 Aluminum,Mill,YCM_3,Surface_Finish_Critical,Yes,Zinc_Plating,No,None,Manually Deburred,1376,56,4.06,No,Incorrect_Hole_Size,Incorrect_Tool_Used,1135
First 6:00AM-2:30PM,Steel,Mill,YCM_3,High_Precision,Yes,Colored_Paint,Yes,Dowel_Pins,Manually Deburred,1345,34,2.56,Yes,Incorrect_Hole_Size,Incorrect_Tool_Used,899
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Big_Wia,Secondary_Operation,No,None,No,None,Part_Deburred_On_Machine,2082,56,2.71,No,Material_Cut_Too_Small,Careless_Deburring,813
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Big_Wia,Tight_Tolerance,No,None,No,None,Manually Deburred,1091,25,2.33,No,Damage_To_Surface,Damaged_When_Shipped_To_Customer,432
Second 1:30PM to 9:30PM,304 Stainless Steel,Lathe,Samsung_SL15E,Tight_Tolerance,No,None,Yes,Screw,Manually Deburred,2846,49,1.73,Yes,Burrs_In_Part,Careless_Deburring,794
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Big_Wia,Surface_Finish_Critical,Yes,Beadblast,No,None,Manually Deburred,1437,63,4.38,Yes,Incorrect_Depth,Improper_Setup,1226
Second 1:30PM to 9:30PM,Steel,Mill,NFX400A,Surface_Finish_Critical,Yes,Chem_Film,No,None,Manually Deburred,2649,110,4.14,No,Damage_To_Surface,Loaded_Part_On_Wrong_Size,1837
Second 1:30PM to 9:30PM,7075 Aluminum,Lathe,Samsung_SL15E,High_Precision,No,None,Yes,Bolts,Part_Deburred_On_Machine,2059,28,1.34,No,Incorrect_Depth,Incorrect_Print,499
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Big_Wia,Tight_Tolerance,No,None,Yes,Dowel_Pins,Part_Deburred_On_Machine,1399,6,0.46,No,Burrs_In_Part,Careless_Deburring,213
First 6:00AM-2:30PM,Steel,Mill,YCM_1,Standard,Yes,Zinc_Plating,Yes,Bolts,Part_Deburred_On_Machine,576,8,1.46,Yes,Dent,Incorrect_Revision_Level,539
Second 1:30PM to 9:30PM,430 Stainless Steel,Mill,YCM_2,Standard,Yes,Passivation,No,None,Part_Deburred_On_Machine,512,3,0.61,Yes,Thread_Defect,Incorrect_Tool_Used,424
First 6:00AM-2:30PM,430 Stainless Steel,Mill,Doosan_HC400_II,Standard,No,None,No,None,Manually Deburred,2163,89,4.09,No,Scratches,Damaged_When_Shipped_To_Customer,1264
Second 1:30PM to 9:30PM,6063 Aluminum,Lathe,Miyano_BND,Surface_Finish_Critical,Yes,Gold_Anodize,No,None,Manually Deburred,1852,27,1.47,No,Incorrect_Engraving,Loaded_Part_On_Wrong_Size,758
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,NFX400A,Secondary_Operation,Yes,Clear_Chromate,No,None,Part_Deburred_On_Machine,2198,106,4.83,No,Material_Cut_Too_Small,Programming_Error,1763
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Small_Wia,Surface_Finish_Critical,No,None,Yes,Bolts,Part_Deburred_On_Machine,2710,33,1.23,No,Incorrect_Hole_Size,Programming_Error,564
Second 1:30PM to 9:30PM,7075 Aluminum,Mill,Doosan_HC400_II,Tight_Tolerance,Yes,Zinc_Plating,Yes,Hinge,Manually Deburred,1905,17,0.88,Yes,Burrs_In_Part,Tool_On_Machine_Broke,678
Second 1:30PM to 9:30PM,Steel,Mill,YCM_1,Tight_Tolerance,Yes,White_Paint,Yes,Bolts,Part_Deburred_On_Machine,619,5,0.88,Yes,Damage_To_Surface,Careless_Deburring,500
First 6:00AM-2:30PM,7075 Aluminum,Lathe,Miyano_BND,Standard,No,None,Yes,Hinge,Part_Deburred_On_Machine,1429,44,3.09,No,Material_Cut_Too_Small,Careless_Deburring,707
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Big_Wia,Tight_Tolerance,Yes,Clear_Hard_Anodize,No,None,Manually Deburred,487,18,3.67,No,Material_Cut_Too_Small,Tool_On_Machine_Broke,641
First 6:00AM-2:30PM,Steel,Mill,YCM_1,Surface_Finish_Critical,Yes,Chem_Film,No,None,Part_Deburred_On_Machine,1867,24,1.31,Yes,Scratches,Operator_Mistake,697
Second 1:30PM to 9:30PM,6063 Aluminum,Lathe,Small_Wia,Secondary_Operation,No,None,Yes,Screw,Manually Deburred,713,1,0.09,No,Missing_Feature,Measurement_Error,170
First 6:00AM-2:30PM,303 Stainless Steel,Mill,YCM_2,Standard,Yes,Clear_Hard_Anodize,Yes,Dowel_Pins,Manually Deburred,2566,102,3.99,No,Incorrect_Engraving,Damaged_When_Shipped_To_Customer,1783
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Big_Wia,Surface_Finish_Critical,No,None,Yes,Screw,Manually Deburred,394,7,1.77,No,Incorrect_Hole_Size,Programming_Error,248
First 6:00AM-2:30PM,7075 Aluminum,Lathe,Samsung_SL15E,Secondary_Operation,No,None,Yes,Bolts,Manually Deburred,2962,8,0.27,Yes,Damage_To_Surface,Programming_Error,261
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Small_Wia,Surface_Finish_Critical,No,None,No,None,Manually Deburred,2743,87,3.17,No,Incorrect_Depth,Incorrect_Print,1238
First 6:00AM-2:30PM,7075 Aluminum,Lathe,Small_Wia,High_Precision,Yes,Clear_Hard_Anodize,Yes,Bolts,Part_Deburred_On_Machine,503,21,4.11,Yes,Thread_Defect,Measurement_Error,708
Second 1:30PM to 9:30PM,Steel,Lathe,Samsung_SL15E,High_Precision,Yes,Clear_Hard_Anodize,Yes,Hinge,Part_Deburred_On_Machine,713,18,2.59,No,Dent,Damaged_When_Shipped_To_Customer,669
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Miyano_BND,Secondary_Operation,No,None,Yes,Fasteners,Manually Deburred,1306,12,0.89,Yes,Material_Cut_Too_Small,Incorrect_Revision_Level,313
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Samsung_SL15E,Tight_Tolerance,Yes,Nickel_Plating,No,None,Manually Deburred,401,12,3.02,No,Incorrect_Depth,Machine_Broke_Down,563
Second 1:30PM to 9:30PM,7075 Aluminum,Lathe,Big_Wia,Standard,No,None,Yes,Fasteners,Manually Deburred,2569,106,4.12,Yes,Out_Of_Tolerance,Measurement_Error,1535
Second 1:30PM to 9:30PM,304 Stainless Steel,Lathe,Small_Wia,Tight_Tolerance,Yes,Gold_Anodize,Yes,Fasteners,Part_Deburred_On_Machine,1358,41,3.04,Yes,Thread_Defect,Measurement_Error,968
Second 1:30PM to 9:30PM,430 Stainless Steel,Mill,NFX400A,Tight_Tolerance,Yes,White_Paint,Yes,Bolts,Manually Deburred,223,2,0.82,Yes,Out_Of_Tolerance,Programming_Error,483
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Samsung_SL15E,Standard,Yes,Clear_Chromate,Yes,Screw,Manually Deburred,54,0,0.5,No,None,None,457
First 6:00AM-2:30PM,6061 Aluminum,Mill,YCM_1,Secondary_Operation,No,None,No,None,Part_Deburred_On_Machine,11,1,4.95,Yes,Incorrect_Depth,Operator_Mistake,98
Second 1:30PM to 9:30PM,430 Stainless Steel,Lathe,Small_Wia,Secondary_Operation,No,None,No,None,Part_Deburred_On_Machine,1006,5,0.5,Yes,Burrs_In_Part,Careless_Deburring,150
Second 1:30PM to 9:30PM,304 Stainless Steel,Lathe,Small_Wia,Surface_Finish_Critical,Yes,White_Paint,No,None,Part_Deburred_On_Machine,1494,60,4.02,No,Damage_To_Surface,Careless_Deburring,1165
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,YCM_2,High_Precision,No,None,No,None,Part_Deburred_On_Machine,1731,72,4.17,Yes,Scratches,Operator_Mistake,1021
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Samsung_SL15E,High_Precision,No,None,Yes,Bolts,Part_Deburred_On_Machine,2810,8,0.28,Yes,Missing_Feature,Incorrect_Print,239
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Samsung_SL15E,Tight_Tolerance,No,None,Yes,Screw,Manually Deburred,1809,25,1.36,Yes,Scratches,Operator_Mistake,482
First 6:00AM-2:30PM,303 Stainless Steel,Mill,YCM_2,Surface_Finish_Critical,No,None,No,None,Manually Deburred,36,2,4.49,No,Dent,Improper_Setup,133
Second 1:30PM to 9:30PM,304 Stainless Steel,Lathe,Big_Wia,Standard,Yes,Gold_Anodize,No,None,Manually Deburred,2672,133,4.99,Yes,Out_Of_Tolerance,Tool_On_Machine_Broke,2136
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Big_Wia,Tight_Tolerance,Yes,Colored_Paint,Yes,Screw,Part_Deburred_On_Machine,2943,121,4.13,No,Burrs_In_Part,Operator_Mistake,2008
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Big_Wia,Standard,No,None,Yes,Screw,Part_Deburred_On_Machine,210,2,1.14,Yes,Incorrect_Engraving,Careless_Deburring,161
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Big_Wia,Surface_Finish_Critical,No,None,No,None,Part_Deburred_On_Machine,2954,104,3.51,Yes,Burrs_In_Part,Tool_On_Machine_Broke,1437
First 6:00AM-2:30PM,6063 Aluminum,Mill,Matsuura_MAM72,Secondary_Operation,Yes,Colored_Paint,Yes,Screw,Manually Deburred,644,15,2.39,Yes,Material_Cut_Too_Small,Loaded_Part_On_Wrong_Size,652
First 6:00AM-2:30PM,7075 Aluminum,Lathe,Small_Wia,High_Precision,No,None,No,None,Part_Deburred_On_Machine,2630,58,2.2,No,Incorrect_Hole_Size,Incorrect_Tool_Used,839
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Big_Wia,High_Precision,No,None,Yes,Bolts,Manually Deburred,886,43,4.83,No,Material_Cut_Too_Small,Careless_Deburring,716
Second 1:30PM to 9:30PM,7075 Aluminum,Lathe,Miyano_BND,Secondary_Operation,Yes,Colored_Paint,No,None,Part_Deburred_On_Machine,966,13,1.37,No,Missing_Feature,Loaded_Part_On_Wrong_Size,554
First 6:00AM-2:30PM,Steel,Mill,YCM_3,Surface_Finish_Critical,No,None,No,None,Manually Deburred,245,5,2.14,No,Missing_Feature,Incorrect_Tool_Used,172
First 6:00AM-2:30PM,303 Stainless Steel,Mill,YCM_1,Secondary_Operation,Yes,Gold_Anodize,Yes,Hinge,Manually Deburred,219,9,3.9,Yes,Incorrect_Depth,Programming_Error,574
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Samsung_SL15E,Standard,Yes,Grinding,No,None,Manually Deburred,842,29,3.49,Yes,Incorrect_Hole_Size,Incorrect_Tool_Used,784
First 6:00AM-2:30PM,7075 Aluminum,Mill,Doosan_HC400_II,Standard,No,None,No,None,Part_Deburred_On_Machine,943,8,0.81,Yes,Dent,Tool_On_Machine_Broke,189
First 6:00AM-2:30PM,303 Stainless Steel,Mill,YCM_1,Surface_Finish_Critical,No,None,No,None,Manually Deburred,219,4,1.94,No,Material_Cut_Too_Small,Part_Lifted_On_Machine,159
Second 1:30PM to 9:30PM,303 Stainless Steel,Mill,YCM_1,Tight_Tolerance,No,None,No,None,Manually Deburred,253,5,1.94,No,Damage_To_Surface,Damaged_When_Shipped_To_Customer,172
Second 1:30PM to 9:30PM,6063 Aluminum,Mill,Matsuura_MAM72,Surface_Finish_Critical,No,None,Yes,Fasteners,Part_Deburred_On_Machine,2385,8,0.33,Yes,Scratches,Careless_Deburring,239
First 6:00AM-2:30PM,304 Stainless Steel,Mill,NFX400A,Surface_Finish_Critical,Yes,Electroless_Nickel_Plating,No,None,Manually Deburred,609,16,2.57,Yes,Burrs_In_Part,Incorrect_Tool_Used,615
Second 1:30PM to 9:30PM,430 Stainless Steel,Lathe,Miyano_BND,Secondary_Operation,No,None,No,None,Manually Deburred,911,24,2.61,No,Out_Of_Tolerance,Material_Defect,419
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Big_Wia,Surface_Finish_Critical,Yes,Colored_Paint,Yes,Screw,Part_Deburred_On_Machine,2180,38,1.75,Yes,Incorrect_Hole_Size,Improper_Setup,929
First 6:00AM-2:30PM,Steel,Lathe,Small_Wia,Tight_Tolerance,Yes,Clear_Chromate,Yes,Bolts,Manually Deburred,599,14,2.4,Yes,Dent,Incorrect_Tool_Used,639
First 6:00AM-2:30PM,430 Stainless Steel,Mill,Doosan_HC400_II,Standard,No,None,Yes,Fasteners,Part_Deburred_On_Machine,1264,1,0.06,No,Out_Of_Tolerance,Part_Lifted_On_Machine,148
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Miyano_BND,Secondary_Operation,No,None,Yes,Screw,Manually Deburred,2559,28,1.09,No,Incorrect_Hole_Size,Incorrect_Tool_Used,521
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Samsung_SL15E,Standard,Yes,Electroless_Nickel_Plating,No,None,Manually Deburred,2329,107,4.61,No,Incorrect_Depth,Machine_Broke_Down,1798
First 6:00AM-2:30PM,6063 Aluminum,Mill,YCM_3,Standard,No,None,Yes,Hinge,Manually Deburred,94,3,3.28,Yes,Incorrect_Depth,Damaged_When_Shipped_To_Customer,196
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Big_Wia,Secondary_Operation,No,None,Yes,Fasteners,Manually Deburred,2807,63,2.26,No,Dent,Loaded_Part_On_Wrong_Size,976
First 6:00AM-2:30PM,7075 Aluminum,Lathe,Samsung_SL15E,Secondary_Operation,No,None,No,None,Part_Deburred_On_Machine,1818,82,4.52,No,Incorrect_Depth,Incorrect_Tool_Used,1151
Second 1:30PM to 9:30PM,Steel,Lathe,Small_Wia,Secondary_Operation,Yes,Heat_Treatment,No,None,Part_Deburred_On_Machine,516,1,0.17,Yes,Scratches,Damaged_When_Shipped_To_Customer,398
First 6:00AM-2:30PM,430 Stainless Steel,Mill,YCM_2,High_Precision,No,None,Yes,Screw,Part_Deburred_On_Machine,2840,83,2.92,No,Damage_To_Surface,Incorrect_Tool_Used,1214
First 6:00AM-2:30PM,Steel,Lathe,Big_Wia,High_Precision,Yes,Heat_Treatment,No,None,Part_Deburred_On_Machine,1154,33,2.85,No,Incorrect_Hole_Size,Programming_Error,814
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Miyano_BND,Tight_Tolerance,No,None,Yes,Fasteners,Manually Deburred,96,4,3.78,No,Scratches,Operator_Mistake,209
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,Doosan_HC400_II,Tight_Tolerance,Yes,Colored_Paint,No,None,Manually Deburred,606,29,4.84,No,Incorrect_Engraving,Operator_Mistake,784
Second 1:30PM to 9:30PM,430 Stainless Steel,Mill,NFX400A,High_Precision,No,None,No,None,Part_Deburred_On_Machine,1101,5,0.43,Yes,Incorrect_Engraving,Tool_On_Machine_Broke,150
Second 1:30PM to 9:30PM,304 Stainless Steel,Mill,NFX400A,Surface_Finish_Critical,Yes,Clear_Hard_Anodize,Yes,Dowel_Pins,Part_Deburred_On_Machine,2753,59,2.13,No,Material_Cut_Too_Small,Incorrect_Revision_Level,1202
Second 1:30PM to 9:30PM,303 Stainless Steel,Mill,NFX400A,Tight_Tolerance,No,None,No,None,Manually Deburred,203,4,2.03,Yes,Incorrect_Engraving,Incorrect_Revision_Level,159
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Big_Wia,Surface_Finish_Critical,Yes,Passivation,Yes,Bolts,Manually Deburred,2456,59,2.38,Yes,Dent,Careless_Deburring,1224
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Small_Wia,Surface_Finish_Critical,Yes,Grinding,Yes,Fasteners,Part_Deburred_On_Machine,720,32,4.42,Yes,Burrs_In_Part,Operator_Mistake,851
First 6:00AM-2:30PM,6061 Aluminum,Mill,Doosan_HC400_II,Tight_Tolerance,No,None,Yes,Screw,Manually Deburred,2626,24,0.9,No,Incorrect_Hole_Size,Tool_On_Machine_Broke,469
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Big_Wia,Surface_Finish_Critical,Yes,Beadblast,No,None,Part_Deburred_On_Machine,2744,134,4.9,Yes,Thread_Defect,Improper_Setup,2127
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Miyano_BND,Surface_Finish_Critical,No,None,Yes,Fasteners,Manually Deburred,1593,68,4.24,No,Dent,Operator_Mistake,1041
Second 1:30PM to 9:30PM,303 Stainless Steel,Mill,Doosan_HC400_II,Tight_Tolerance,Yes,Beadblast,Yes,Screw,Manually Deburred,190,9,4.63,No,Incorrect_Engraving,Damaged_When_Shipped_To_Customer,574
Second 1:30PM to 9:30PM,7075 Aluminum,Mill,NFX400A,Standard,No,None,Yes,Screw,Part_Deburred_On_Machine,1768,76,4.3,No,Damage_To_Surface,Operator_Mistake,1123
Second 1:30PM to 9:30PM,430 Stainless Steel,Lathe,Miyano_BND,Tight_Tolerance,Yes,Grinding,Yes,Hinge,Part_Deburred_On_Machine,662,2,0.33,No,Burrs_In_Part,Operator_Mistake,461
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Samsung_SL15E,High_Precision,No,None,No,None,Manually Deburred,1619,23,1.42,No,Burrs_In_Part,Incorrect_Tool_Used,406
First 6:00AM-2:30PM,430 Stainless Steel,Mill,NFX400A,Surface_Finish_Critical,No,None,Yes,Dowel_Pins,Part_Deburred_On_Machine,2806,75,2.69,No,Dent,Part_Lifted_On_Machine,1110
Second 1:30PM to 9:30PM,Steel,Mill,Matsuura_MAM72,Secondary_Operation,Yes,Beadblast,Yes,Dowel_Pins,Manually Deburred,2736,127,4.65,No,Burrs_In_Part,Incorrect_Tool_Used,2108
First 6:00AM-2:30PM,7075 Aluminum,Mill,YCM_1,Standard,No,None,No,None,Part_Deburred_On_Machine,148,1,0.91,Yes,Scratches,Damaged_When_Shipped_To_Customer,98
Second 1:30PM to 9:30PM,430 Stainless Steel,Mill,Matsuura_MAM72,Surface_Finish_Critical,No,None,Yes,Fasteners,Part_Deburred_On_Machine,1952,4,0.22,No,Dent,Measurement_Error,187
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Samsung_SL15E,High_Precision,No,None,No,None,Manually Deburred,1031,9,0.87,Yes,Out_Of_Tolerance,Improper_Setup,224
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Samsung_SL15E,Tight_Tolerance,Yes,Beadblast,No,None,Manually Deburred,170,0,0.22,Yes,None,None,407
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,NFX400A,Secondary_Operation,No,None,No,None,Manually Deburred,1863,81,4.34,Yes,Thread_Defect,Programming_Error,1160
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Samsung_SL15E,Secondary_Operation,No,None,No,None,Part_Deburred_On_Machine,2574,100,3.89,No,Incorrect_Engraving,Machine_Broke_Down,1385
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Small_Wia,Tight_Tolerance,No,None,No,None,Part_Deburred_On_Machine,1325,41,3.12,No,Incorrect_Hole_Size,Incorrect_Tool_Used,618
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Samsung_SL15E,Standard,No,None,Yes,Fasteners,Manually Deburred,1134,55,4.83,Yes,Burrs_In_Part,Incorrect_Tool_Used,872
First 6:00AM-2:30PM,7075 Aluminum,Lathe,Samsung_SL15E,Surface_Finish_Critical,No,None,No,None,Part_Deburred_On_Machine,2898,95,3.27,Yes,Incorrect_Depth,Improper_Setup,1320
Second 1:30PM to 9:30PM,Steel,Lathe,Small_Wia,Standard,No,None,No,None,Manually Deburred,2664,104,3.9,No,Incorrect_Depth,Measurement_Error,1459
Second 1:30PM to 9:30PM,430 Stainless Steel,Lathe,Miyano_BND,Standard,Yes,Passivation,Yes,Fasteners,Manually Deburred,1741,16,0.93,Yes,Incorrect_Hole_Size,Programming_Error,665
Second 1:30PM to 9:30PM,6063 Aluminum,Lathe,Small_Wia,Secondary_Operation,No,None,No,None,Manually Deburred,2516,32,1.27,Yes,Dent,Damaged_When_Shipped_To_Customer,523
First 6:00AM-2:30PM,Steel,Lathe,Samsung_SL15E,High_Precision,No,None,Yes,Screw,Manually Deburred,1336,61,4.59,No,Material_Cut_Too_Small,Damaged_When_Shipped_To_Customer,950
Second 1:30PM to 9:30PM,430 Stainless Steel,Mill,YCM_2,Secondary_Operation,No,None,No,None,Manually Deburred,1787,72,4.02,Yes,Burrs_In_Part,Incorrect_Tool_Used,1043
First 6:00AM-2:30PM,430 Stainless Steel,Mill,Doosan_HC400_II,Standard,No,None,No,None,Part_Deburred_On_Machine,1579,79,4.98,No,Incorrect_Depth,Incorrect_Tool_Used,1112
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Small_Wia,Standard,Yes,Nickel_Plating,Yes,Dowel_Pins,Part_Deburred_On_Machine,589,19,3.25,No,Incorrect_Engraving,Operator_Mistake,682
Second 1:30PM to 9:30PM,Steel,Lathe,Small_Wia,Standard,No,None,Yes,Bolts,Part_Deburred_On_Machine,2763,23,0.83,No,Damage_To_Surface,Incorrect_Revision_Level,434
Second 1:30PM to 9:30PM,304 Stainless Steel,Mill,NFX400A,Standard,Yes,Electroless_Nickel_Plating,Yes,Dowel_Pins,Manually Deburred,163,5,2.87,No,Damage_To_Surface,Part_Lifted_On_Machine,522
First 6:00AM-2:30PM,Steel,Lathe,Samsung_SL15E,High_Precision,Yes,Heat_Treatment,Yes,Hinge,Part_Deburred_On_Machine,1087,21,1.98,No,Material_Cut_Too_Small,Careless_Deburring,708
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Samsung_SL15E,High_Precision,No,None,Yes,Screw,Part_Deburred_On_Machine,1454,29,1.98,No,Incorrect_Depth,Material_Defect,512
Second 1:30PM to 9:30PM,7075 Aluminum,Lathe,Samsung_SL15E,Secondary_Operation,No,None,No,None,Manually Deburred,2877,6,0.22,Yes,Dent,Operator_Mistake,185
